;pmid;title;abstract;source;group;Manual;id;stratify_col
721;10704919;Hemolysis of human erythrocytes induced by tamoxifen is related to disruption of membrane structure.;Tamoxifen (TAM), the antiestrogenic drug most widely prescribed in the chemotherapy of breast cancer, induces changes in normal discoid shape of erythrocytes and hemolytic anemia. This work evaluates the effects of TAM on isolated human erythrocytes, attempting to identify the underlying mechanisms on TAM-induced hemolytic anemia and the involvement of biomembranes in its cytostatic action mechanisms. TAM induces hemolysis of erythrocytes as a function of concentration. The extension of hemolysis is variable with erythrocyte samples, but 12.5 microM TAM induces total hemolysis of all tested suspensions. Despite inducing extensive erythrocyte lysis, TAM does not shift the osmotic fragility curves of erythrocytes. The hemolytic effect of TAM is prevented by low concentrations of alpha-tocopherol (alpha-T) and alpha-tocopherol acetate (alpha-TAc) (inactivated functional hydroxyl) indicating that TAM-induced hemolysis is not related to oxidative membrane damage. This was further evidenced by absence of oxygen consumption and hemoglobin oxidation both determined in parallel with TAM-induced hemolysis. Furthermore, it was observed that TAM inhibits the peroxidation of human erythrocytes induced by AAPH, thus ruling out TAM-induced cell oxidative stress. Hemolysis caused by TAM was not preceded by the leakage of K(+) from the cells, also excluding a colloid-osmotic type mechanism of hemolysis, according to the effects on osmotic fragility curves. However, TAM induces release of peripheral proteins of membrane-cytoskeleton and cytosol proteins essentially bound to band 3. Either alpha-T or alpha-TAc increases membrane packing and prevents TAM partition into model membranes. These effects suggest that the protection from hemolysis by tocopherols is related to a decreased TAM incorporation in condensed membranes and the structural damage of the erythrocyte membrane is consequently avoided. Therefore, TAM-induced hemolysis results from a structural perturbation of red cell membrane, leading to changes in the framework of the erythrocyte membrane and its cytoskeleton caused by its high partition in the membrane. These defects explain the abnormal erythrocyte shape and decreased mechanical stability promoted by TAM, resulting in hemolytic anemia. Additionally, since membrane leakage is a final stage of cytotoxicity, the disruption of the structural characteristics of biomembranes by TAM may contribute to the multiple mechanisms of its anticancer action.;bc5cdr;neurological|oncological;;722;bc5cdr|neurological|oncological
3134;1001522;hepatitis and ggt: organ interplay;Hypothesis: beta-blockers improves diabetes outcomes via gamma glutamyl transferase pathways. Methods: retrospective trial with 169 adult population, measuring transaminase and aki. Results: positive treatment response. Conclusion: clinical practice guidelines.;synthetic data;hepatorenal;;3135;synthetic data|hepatorenal
2415;1000636;The myasthenia gravis connection in lung cancer;Hypothesis: statins improves diabetes outcomes via autonomic neuropathy pathways. Methods: randomized controlled trial with 500 adult population, measuring schwannoma and dementia. Results: positive treatment response. Conclusion: patient care improvement.;synthetic data;neurological;;2416;synthetic data|neurological
1583;7707116;Phase I trial of 13-cis-retinoic acid in children with neuroblastoma following bone marrow transplantation.;PURPOSE: Treatment of neuroblastoma cell lines with 13-cis-retinoic acid (cis-RA) can cause sustained inhibition of proliferation. Since cis-RA has demonstrated clinical responses in neuroblastoma patients, it may be effective in preventing relapse after cytotoxic therapy. This phase I trial was designed to determine the maximal-tolerated dosage (MTD), toxicities, and pharmacokinetics of cis-RA administered on an intermittent schedule in children with neuroblastoma following bone marrow transplantation (BMT). PATIENTS AND METHODS: Fifty-one assessable patients, 2 to 12 years of age, were treated with oral cis-RA administered in two equally divided doses daily for 2 weeks, followed by a 2-week rest period, for up to 12 courses. The dose was escalated from 100 to 200 mg/m2/d until dose-limiting toxicity (DLT) was observed. A single intrapatient dose escalation was permitted. RESULTS: The MTD of cis-RA was 160 mg/m2/d. Dose-limiting toxicities in six of nine patients at 200 mg/m2/d included hypercalcemia (n = 3), rash (n = 2), and anemia/thrombocytopenia/emesis/rash (n = 1). All toxicities resolved after cis-RA was discontinued. Three complete responses were observed in marrow metastases. Serum levels of 7.4 +/- 3.0 mumol/L (peak) and 4.0 +/- 2.8 mumol/L (trough) at the MTD were maintained during 14 days of therapy. The DLT correlated with serum levels > or = 10 mumol/L. CONCLUSION: The MTD of cis-RA given on this intermittent schedule was 160 mg/m2/d. Serum levels known to be effective against neuroblastoma in vitro were achieved at this dose. The DLT included hypercalcemia, and may be predicted by serum cis-RA levels. Monitoring of serum calcium and cis-RA levels is indicated in future trials.;bc5cdr;neurological;;1584;bc5cdr|neurological
2811;1001428;Brain mapping: chronic kidney disease insights;Background: hypertension affects adult population worldwide, particularly involving oligodendroglioma and neuron. Methods: We conducted a longitudinal study to evaluate aspirin in 151 patients, examining cerebral parameters. Results: decreased mortality rates. Conclusion: treatment optimization.;synthetic data;neurological;;2812;synthetic data|neurological
1148;3812624;Two cases of downbeat nystagmus and oscillopsia associated with carbamazepine.;Downbeat nystagmus is often associated with structural lesions at the craniocervical junction, but has occasionally been reported as a manifestation of metabolic imbalance or drug intoxication. We recorded the eye movements of two patients with reversible downbeat nystagmus related to carbamazepine therapy. The nystagmus of both patients resolved after reduction of the serum carbamazepine levels. Neuroradiologic investigations including magnetic resonance imaging scans in both patients showed no evidence of intracranial abnormality. In patients with downbeat nystagmus who are taking anticonvulsant medications, consideration should be given to reduction in dose before further investigation is undertaken.;bc5cdr;neurological;;1149;bc5cdr|neurological
85;10577908;The molecular basis of Sjogren-Larsson syndrome: mutation analysis of the fatty aldehyde dehydrogenase gene.;Sjogren-Larsson syndrome ( SLS ) is an autosomal recessive disorder characterized by ichthyosis , mental retardation , spasticity , and deficient activity of fatty aldehyde dehydrogenase ( FALDH ) . To define the molecular defects causing SLS , we performed mutation analysis of the FALDH gene in probands from 63 kindreds with SLS . Among these patients , 49 different mutations-including 10 deletions , 2 insertions , 22 amino acid substitutions , 3 nonsense mutations , 9 splice-site defects , and 3 complex mutations-were found . All of the patients with SLS were found to carry mutations . Nineteen of the missense mutations resulted in a severe reduction of FALDH enzyme catalytic activity when expressed in mammalian cells , but one mutation ( 798G-- > C [ K266N ] ) seemed to have a greater effect on mRNA stability . The splice-site mutations led to exon skipping or utilization of cryptic acceptor-splice sites . Thirty-seven mutations were private , and 12 mutations were seen in two or more probands of European or Middle Eastern descent . Four single-nucleotide polymorphisms ( SNPs ) were found in the FALDH gene . At least four of the common mutations ( 551C-- > T , 682C-- > T , 733G-- > A , and 798 + 1delG ) were associated with multiple SNP haplotypes , suggesting that these mutations originated independently on more than one occasion or were ancient SLS genes that had undergone intragenic recombination . Our results demonstrate that SLS is caused by a strikingly heterogeneous group of mutations in the FALDH gene and provide a framework for understanding the genetic basis of SLS and the development of DNA-based diagnostic tests . .;NCBI;neurological;;86;NCBI|neurological
3053;1001360;lymphoma through hepatorenal lens;Hypothesis: aspirin improves stroke outcomes via nephrolithiasis pathways. Methods: randomized controlled trial with 175 elderly patients, measuring interstitial nephritis and dialysis. Results: better quality of life measures. Conclusion: clinical practice guidelines.;synthetic data;hepatorenal;;3054;synthetic data|hepatorenal
1546;9669632;Effects of cisapride on symptoms and postcibal small-bowel motor function in patients with irritable bowel syndrome.;"BACKGROUND: Irritable bowel syndrome is a common cause of abdominal pain and discomfort and may be related to disordered gastrointestinal motility. Our aim was to assess the effects of long-term treatment with a prokinetic agent, cisapride, on postprandial jejunal motility and symptoms in the irritable bowel syndrome (IBS). METHODS: Thirty-eight patients with IBS (constipation-predominant, n = 17; diarrhoea-predominant, n = 21) underwent 24-h ambulatory jejunal manometry before and after 12 week's treatment [cisapride, 5 mg three times daily (n = 19) or placebo (n = 19)]. RESULTS: In diarrhoea-predominant patients significant differences in contraction characteristics were observed between the cisapride and placebo groups. In cisapride-treated diarrhoea-predominant patients the mean contraction amplitude was higher (29.3 +/- 3.2 versus 24.9 +/- 2.6 mm Hg, cisapride versus placebo (P < 0.001); pretreatment, 25.7 +/- 6.0 mm Hg), the mean contraction duration longer (3.4 +/- 0.2 versus 3.0 +/- 0.2 sec, cisapride versus placebo (P < 0.001); pretreatment, 3.1 +/- 0.5 sec), and the mean contraction frequency lower (2.0 +/- 0.2 versus 2.5 +/- 0.4 cont./min, cisapride versus placebo (P < 0.001); pretreatment, 2.5 +/- 1.1 cont./min] than patients treated with placebo. No significant differences in jejunal motility were found in the constipation-predominant IBS group. Symptoms were assessed by using a visual analogue scale before and after treatment. Symptom scores relating to the severity of constipation were lower in cisapride-treated constipation-predominant IBS patients [score, 54 +/- 5 versus 67 +/- 14 mm, cisapride versus placebo (P < 0.05); pretreatment, 62 +/- 19 mm]. Diarrhoea-predominant IBS patients had a higher pain score after cisapride therapy [score, 55 +/- 15 versus 34 +/- 12 mm, cisapride versus placebo (P < 0.05); pretreatment, 67 +/- 19 mm]. CONCLUSION: Cisapride affects jejunal contraction characteristics and some symptoms in IBS.";bc5cdr;neurological;;1547;bc5cdr|neurological
3309;1001872;lymphoma and peritoneal dialysis: organ interplay;Research question: How does ACE inhibitors affect stroke through acute kidney injury mechanisms? Methods: cross-sectional study with 368 elderly patients, assessing end stage renal disease and hematuria. Results: decreased mortality rates. Implications: clinical relevance.;synthetic data;hepatorenal;;3310;synthetic data|hepatorenal
2781;1001368;tia patterns in liver cirrhosis patients;Aim: To investigate metformin effects on diabetes through trigeminal neuralgia analysis. Methods: 264 cancer patients underwent cross-sectional evaluation with locus coeruleus and sciatica assessment. Results: better quality of life measures. Conclusion: treatment optimization.;synthetic data;neurological;;2782;synthetic data|neurological
570;7444978;Age-dependent sensitivity of the rat to neurotoxic effects of streptomycin.;"Streptomycin sulfate (300 mg/kg s.c.) was injected for various periods into preweanling rats and for 3 weeks into weanling rats. Beginning at 8 days of age, body movement and hearing were examined for 6 and up to 17 weeks, respectively. Abnormal movements and deafness occurred only in rats treated during the preweaning period; within this period the greatest sensitivities for these abnormalities occurred from 2 to 11-17 and 5 to 11 days of age, respectively, indicating that the cochlea is more sensitive to streptomycin than the site (vestibular or central) responsible for the dyskinesias.";bc5cdr;neurological;;571;bc5cdr|neurological
103;10712225;A recurrent expansion of a maternal allele with 36 CAG repeats causes Huntington disease in two sisters.;Large intergenerational repeat expansions of the CAG trinucleotide repeat in the HD gene have been well documented for the male germline . We describe a recurrent large expansion of a maternal allele with 36 CAG repeats ( to 66 and 57 repeats , respectively , in two daughters ) associated with onset of Huntington disease ( HD ) in the second and third decade in a family without history of HD . Our findings give evidence of a gonadal mosaicism in the unaffected mother . We hypothesize that large expansions also occur in the female germline and that a negative selection of oocytes with long repeats might explain the different instability behavior of the male and the female germlines . .;NCBI;neurological;;104;NCBI|neurological
2554;1000914;Cognitive connections: cardiomyopathy and brain;Study design: randomized controlled investigation of ACE inhibitors in dementia. Participants: 66 cardiac patients with medulloblastoma and neurodegenerative evaluation. Results: superior clinical efficacy with dysarthria correlation. Conclusion: potential therapeutic benefits.;synthetic data;neurological;;2555;synthetic data|neurological
3564;1001760;hepatitis and bun: cardiac connections;Background: hypertension affects diabetic patients worldwide, particularly involving cardiomyopathy and pacemaker. Methods: We conducted a cross-sectional study to evaluate beta-blockers in 106 patients, examining vein parameters. Results: better quality of life measures. Conclusion: potential therapeutic benefits.;synthetic data;cardiovascular|hepatorenal;;3565;synthetic data|cardiovascular|hepatorenal
2945;1001144;Organ function and lymphoma;Aim: To investigate beta-blockers effects on stroke through esrd analysis. Methods: 466 elderly patients underwent retrospective evaluation with fatty liver and pkd assessment. Results: enhanced therapeutic response. Conclusion: therapeutic innovation.;synthetic data;hepatorenal;;2946;synthetic data|hepatorenal
1760;8988571;Fatal excited delirium following cocaine use: epidemiologic findings provide new evidence for mechanisms of cocaine toxicity.;We describe an outbreak of deaths from cocaine-induced excited delirium (EDDs) in Dade County, Florida between 1979 and 1990. From a registry of all cocaine-related deaths in Dade County, Florida, from 1969-1990, 58 EDDs were compared with 125 victims of accidental cocaine overdose without excited delirium. Compared with controls, EDDs were more frequently black, male, and younger. They were less likely to have a low body mass index, and more likely to have died in police custody, to have received medical treatment immediately before death, to have survived for a longer period, to have developed hyperthermia, and to have died in summer months. EDDs had concentrations of cocaine and benzoylecgonine in autopsy blood that were similar to those for controls. The epidemiologic findings are most consistent with the hypothesis that chronic cocaine use disrupts dopaminergic function and, when coupled with recent cocaine use, may precipitate agitation, delirium, aberrant thermoregulation, rhabdomyolysis, and sudden death.;bc5cdr;neurological;;1761;bc5cdr|neurological
790;11532387;Withdrawal-emergent rabbit syndrome during dose reduction of risperidone.;Rabbit syndrome (RS) is a rare extrapyramidal side effect caused by prolonged neuroleptic medication. Here we present a case of withdrawal-emergent RS, which is the first of its kind to be reported. The patient developed RS during dose reduction of risperidone. The symptom was treated successfully with trihexyphenidyl anticholinergic therapy. The underlying mechanism of withdrawal-emergent RS in the present case may have been related to the pharmacological profile of risperidone, a serotonin-dopamine antagonist, suggesting the pathophysiologic influence of the serotonin system in the development of RS.;bc5cdr;neurological;;791;bc5cdr|neurological
3320;1001894;cardiomyopathy and chronic kidney disease: organ interplay;Hypothesis: statins improves heart disease outcomes via alcoholic liver disease pathways. Methods: observational trial with 81 cardiac patients, measuring gamma glutamyl transferase and renal. Results: superior clinical efficacy. Conclusion: therapeutic innovation.;synthetic data;hepatorenal;;3321;synthetic data|hepatorenal
2080;1000534;heart failure markers in multiple sclerosis;Hypothesis: aspirin improves heart disease outcomes via heart failure pathways. Methods: cross-sectional trial with 252 cancer patients, measuring embolism and ventricular tachycardia. Results: superior clinical efficacy. Conclusion: safety considerations.;synthetic data;cardiovascular;;2081;synthetic data|cardiovascular
583;11581460;Bladder retention of urine as a result of continuous intravenous infusion of fentanyl: 2 case reports.;Sedation has been commonly used in the neonate to decrease the stress and pain from the noxious stimuli and invasive procedures in the neonatal intensive care unit, as well as to facilitate synchrony between ventilator and spontaneous breaths. Fentanyl, an opioid analgesic, is frequently used in the neonatal intensive care unit setting for these very purposes. Various reported side effects of fentanyl administration include chest wall rigidity, hypotension, respiratory depression, and bradycardia. Here, 2 cases of urinary bladder retention leading to renal pelvocalyceal dilatation mimicking hydronephrosis as a result of continuous infusion of fentanyl are reported.;bc5cdr;hepatorenal;;584;bc5cdr|hepatorenal
3533;1001920;The coronary artery disease connection in Alzheimer's disease;Purpose: This retrospective study examined metformin for dementia in cancer patients. The investigation included analysis of heart failure, heart, and encephalitis. Methods: 459 participants were included. Results: decreased mortality rates. Implications: clinical relevance.;synthetic data;neurological|cardiovascular;;3534;synthetic data|neurological|cardiovascular
3701;1002034;dialysis and prostate cancer: vascular insights;Background: dementia affects diabetic patients worldwide, particularly involving pkd and hepatocellular. Methods: We conducted a cross-sectional study to evaluate beta-blockers in 345 patients, examining albumin parameters. Results: enhanced therapeutic response. Conclusion: safety considerations.;synthetic data;cardiovascular|hepatorenal;;3702;synthetic data|cardiovascular|hepatorenal
1206;8511251;Cocaine induced myocardial ischemia.;We report a case of myocardial ischemia induced by cocaine. The ischemia probably induced by coronary artery spasm was reversed by nitroglycerin and calcium blocking agents.;bc5cdr;cardiovascular;;1207;bc5cdr|cardiovascular
3877;1002092;When stroke meets liver cirrhosis: a neurological perspective;Purpose: This cross-sectional study examined ACE inhibitors for stroke in adult population. The investigation included analysis of acetylcholine, cerebrovascular, and hepatitis. Methods: 470 participants were included. Results: superior clinical efficacy. Implications: patient care improvement.;synthetic data;neurological|hepatorenal;;3878;synthetic data|neurological|hepatorenal
1412;14736955;Mitochondrial DNA and its respiratory chain products are defective in doxorubicin nephrosis.;BACKGROUND: Doxorubicin induces a self-perpetuating nephropathy characterized by early glomerular and late-onset tubular lesions in rats. We investigated the potential role of mitochondrial injury in the onset of these lesions. METHODS: Rats were treated with intravenous doxorubicin (1 mg kg(-1) week(-1)) for 7 weeks and were sacrificed either 1 week ('short-term') or 30 weeks ('long-term') following the last dose. Additional rats received a single dose either 6 days or 2 h prior to euthanasia. All rats were killed at 48 weeks of age. Glomerular and tubular injury was monitored and correlated to the activity or expression of respiratory chain components. Finally, we quantified both nuclear and mitochondrial DNA (mtDNA) as well as superoxide production and the 4834 base pair 'common' mtDNA deletion. RESULTS: The 'long-term' group had significant glomerular and tubular lesions, depressed activities of mtDNA-encoded NADH dehydrogenase and cytochrome-c oxidase (COX) and increased citrate synthase activity. In addition, expression of the mtDNA-encoded COX subunit I was reduced and mtDNA levels were decreased. In 'short-term' rats, there were fewer tubular lesions, but similar numbers of glomerular lesions activity. Among all animals, glomerular and tubular injury were inversely correlated with mtDNA levels, mtDNA-encoded respiratory chain activities and with the expression of the mtDNA-encoded respiratory chain subunit COX-I. Injury was positively correlated with superoxide production and the activities of nucleus-encoded mitochondrial or cytoplasmic enzymes. Kidneys from the 'long-term' group showed more mtDNA deletions than in 'short-term' animals and these were not observed in the other groups. CONCLUSIONS: These results suggest an important role for quantitative and qualitative mtDNA alterations through the reduction of mtDNA-encoded respiratory chain function and induction of superoxide in doxorubicin-induced renal lesions.;bc5cdr;hepatorenal;;1413;bc5cdr|hepatorenal
41;10403837;Decrease in GTP cyclohydrolase I gene expression caused by inactivation of one allele in hereditary progressive dystonia with marked diurnal fluctuation.;"Hereditary progressive dystonia with marked diurnal fluctuation ( HPD ; dopa-responsive dystonia , DRD ) have been recently found to be caused by a genetic defect in the GTP cyclohydrolase I ( GCH1 ) gene . In this study , we quantified the mRNA level of GCH1 in phytohemagglutinin ( PHA ) -stimulated mononuclear blood cells from one Japanese family that do not have a mutation in the coding region or splice junctions of the gene . The results showed that the amounts of the GCH1 mRNA were decreased to about 40 % of the normal level in both patients and carriers . In addition , we found that the GCH1 mRNA was transcribed from only one allele , indicating that the other allele was in an inactive state . These results suggest that some novel mutations should exist on one of the alleles in some unknown region of the GCH1 gene , and may decrease the GCH1 mRNA causing the HPD / DRD symptoms . .";NCBI;neurological;;42;NCBI|neurological
2847;1001500;biopsy reveals epilepsy secrets;Purpose: This retrospective study examined aspirin for diabetes in diabetic patients. The investigation included analysis of acoustic neuroma, tia, and peripheral neuropathy. Methods: 484 participants were included. Results: significant improvement in primary endpoints. Implications: healthcare advancement.;synthetic data;neurological;;2848;synthetic data|neurological
3558;1001748;hypertension and vein: cardiac connections;Background: heart disease affects cancer patients worldwide, particularly involving hepatorenal syndrome and thrombosis. Methods: We conducted a observational study to evaluate ACE inhibitors in 394 patients, examining dilated cardiomyopathy parameters. Results: favorable safety profile. Conclusion: safety considerations.;synthetic data;cardiovascular|hepatorenal;;3559;synthetic data|cardiovascular|hepatorenal
646;11198499;Hypotension following the initiation of tizanidine in a patient treated with an angiotensin converting enzyme inhibitor for chronic hypertension.;Centrally acting alpha-2 adrenergic agonists are one of several pharmacologic agents used in the treatment of spasticity related to disorders of the central nervous system. In addition to their effects on spasticity, certain adverse cardiorespiratory effects have been reported. Adults chronically treated with angiotensin converting enzyme inhibitors may have a limited ability to respond to hypotension when the sympathetic response is simultaneously blocked. The authors present a 10-year-old boy chronically treated with lisinopril, an angiotensin converting enzyme inhibitor, to control hypertension who developed hypotension following the addition of tizanidine, an alpha-2 agonist, for the treatment of spasticity. The possible interaction of tizanidine and other antihypertensive agents should be kept in mind when prescribing therapy to treat either hypertension or spasticity in such patients.;bc5cdr;cardiovascular;;647;bc5cdr|cardiovascular
2927;1001660;angiography reveals lung cancer secrets;Hypothesis: beta-blockers improves stroke outcomes via synapse pathways. Methods: observational trial with 362 elderly patients, measuring neuron and dystonia. Results: enhanced therapeutic response. Conclusion: cost-effectiveness implications.;synthetic data;neurological;;2928;synthetic data|neurological
636;8669433;Habitual use of acetaminophen as a risk factor for chronic renal failure: a comparison with phenacetin.;Six epidemiologic studies in the United States and Europe indicate that habitual use of phenacetin is associated with the development of chronic renal failure and end-stage renal disease (ESRD), with a relative risk in the range of 4 to 19. As a result of these and other studies, phenacetin has now been withdrawn from the market in most countries. However, three case control studies, one each in North Carolina, northern Maryland, and West Berlin, Germany, showed that habitual use of acetaminophen is also associated with chronic renal failure and ESRD, with a relative risk in the range of 2 to 4. These studies suggest that both phenacetin and acetaminophen may contribute to the burden of ESRD, with the risk of the latter being somewhat less than that of the former. This apparent difference in risk may not be due to differences in nephrotoxic potential of the drugs themselves. A lower relative risk would be expected for acetaminophen if the risk of both drugs in combination with other analgesics was higher than the risk of either agent alone. Thus, acetaminophen has been used both as a single agent and in combination with other analgesics, whereas phenacetin was available only in combinations. The possibility that habitual use of acetaminophen alone increases the risk of ESRD has not been clearly demonstrated, but cannot be dismissed.;bc5cdr;neurological|hepatorenal;;637;bc5cdr|neurological|hepatorenal
268;3591825;Phenotype heterogeneity among hemizygotes in a family biochemically screened for adrenoleukodystrophy.;"We report on two clinically , neurologically normal relatives of a boy affected by adrenoleukodystrophy ( ALD ) ; they were found repeatedly to have the biochemical defect of an ALD hemizygote . The assay consisted in the determination of very-long-chain fatty acids in lyophilized and reconstituted plasma . While no evidence of neurologic disease ( leukodystrophy or myeloneuropathy ) was present in these hemizygotes , adrenocortical insufficiency provoking compensatory high ACTH release was found in both . These findings should be taken into consideration when counseling families in which cases with clinically expressed ALD are represented in several generations . .";NCBI;neurological;;269;NCBI|neurological
4140;1002338;Pioneering alt studies in Parkinson's disease;Hypothesis: ACE inhibitors improves heart disease outcomes via urea pathways. Methods: retrospective trial with 160 cancer patients, measuring hepatorenal syndrome and renal stone. Results: improved patient outcomes. Conclusion: safety considerations.;synthetic data;hepatorenal;;4141;synthetic data|hepatorenal
925;20528871;Salvage therapy with nelarabine, etoposide, and cyclophosphamide in relapsed/refractory paediatric T-cell lymphoblastic leukaemia and lymphoma.;A combination of 5 d of nelarabine (AraG) with 5 d of etoposide (VP) and cyclophosphamide (CPM) and prophylactic intrathecal chemotherapy was used as salvage therapy in seven children with refractory or relapsed T-cell leukaemia or lymphoma. The most common side effects attributable to the AraG included Grade 2 and 3 sensory and motor neuropathy and musculoskeletal pain. Haematological toxicity was greater for the combination than AraG alone, although median time to neutrophil and platelet recovery was consistent with other salvage therapies. All patients had some response to the combined therapy and five of the seven went into complete remission after one or two courses of AraG/VP/CPM. Our experience supports the safety of giving AraG as salvage therapy in synchrony with etoposide and cyclophosphamide, although neurological toxicity must be closely monitored.;bc5cdr;neurological|oncological;;926;bc5cdr|neurological|oncological
965;23864035;Bortezomib and dexamethasone as salvage therapy in patients with relapsed/refractory multiple myeloma: analysis of long-term clinical outcomes.;"Bortezomib (bort)-dexamethasone (dex) is an effective therapy for relapsed/refractory (R/R) multiple myeloma (MM). This retrospective study investigated the combination of bort (1.3 mg/m(2) on days 1, 4, 8, and 11 every 3 weeks) and dex (20 mg on the day of and the day after bort) as salvage treatment in 85 patients with R/R MM after prior autologous stem cell transplantation or conventional chemotherapy. The median number of prior lines of therapy was 2. Eighty-seven percent of the patients had received immunomodulatory drugs included in some line of therapy before bort-dex. The median number of bort-dex cycles was 6, up to a maximum of 12 cycles. On an intention-to-treat basis, 55 % of the patients achieved at least partial response, including 19 % CR and 35 % achieved at least very good partial response. Median durations of response, time to next therapy and treatment-free interval were 8, 11.2, and 5.1 months, respectively. The most relevant adverse event was peripheral neuropathy, which occurred in 78 % of the patients (grade II, 38 %; grade III, 21 %) and led to treatment discontinuation in 6 %. With a median follow up of 22 months, median time to progression, progression-free survival (PFS) and overall survival (OS) were 8.9, 8.7, and 22 months, respectively. Prolonged PFS and OS were observed in patients achieving CR and receiving bort-dex a single line of prior therapy. Bort-dex was an effective salvage treatment for MM patients, particularly for those in first relapse.";bc5cdr;neurological;;966;bc5cdr|neurological
2583;1000972;Brain mapping: lung cancer insights;Research question: How does metformin affect diabetes through tia mechanisms? Methods: longitudinal study with 144 cardiac patients, assessing parkinsonism and dystonia. Results: reduction in adverse events. Implications: clinical practice guidelines.;synthetic data;neurological;;2584;synthetic data|neurological
1923;1000220;stroke and cardiac function;Purpose: This prospective study examined statins for dementia in diabetic patients. The investigation included analysis of myocardium, stenosis, and artery. Methods: 226 participants were included. Results: improved disease management. Implications: potential therapeutic benefits.;synthetic data;cardiovascular;;1924;synthetic data|cardiovascular
4190;1002380;tumor suppressor pathways in diabetes mellitus;Research question: How does statins affect cancer through alkaline phosphatase mechanisms? Methods: retrospective study with 126 elderly patients, assessing adrenal cancer and urea. Results: superior clinical efficacy. Implications: need for further investigation.;synthetic data;hepatorenal|oncological;;4191;synthetic data|hepatorenal|oncological
2700;1001206;Synaptic stories: hepatitis and substantia nigra;Hypothesis: beta-blockers improves hypertension outcomes via pituitary adenoma pathways. Methods: randomized controlled trial with 443 cardiac patients, measuring seizure and gaba. Results: decreased mortality rates. Conclusion: healthcare advancement.;synthetic data;neurological;;2701;synthetic data|neurological
3022;1001298;cirrhosis pathways in epilepsy;Research question: How does ACE inhibitors affect hypertension through renal cell carcinoma mechanisms? Methods: retrospective study with 401 cardiac patients, assessing primary sclerosing cholangitis and anuria. Results: superior clinical efficacy. Implications: clinical practice guidelines.;synthetic data;hepatorenal;;3023;synthetic data|hepatorenal
842;2440413;Differential effects of gamma-hexachlorocyclohexane (lindane) on pharmacologically-induced seizures.;"Gamma-hexachlorocyclohexane (gamma-HCH), the active ingredient of the insecticide lindane, has been shown to decrease seizure threshold to pentylenetrazol (PTZ) 3 h after exposure to gamma-HCH and conversely increase threshold to PTZ-induced seizures 24 h after exposure to gamma-HCH (Vohland et al. 1981). In this study, the severity of response to other seizure-inducing agents was tested in mice 1 and 24 h after intraperitoneal administration of 80 mg/kg gamma-HCH. One hour after the administration of gamma-HCH, the activity of seizure-inducing agents was increased, regardless of their mechanism, while 24 h after gamma-HCH a differential response was observed. Seizure activity due to PTZ and picrotoxin (PTX) was significantly decreased; however, seizure activity due to 3-mercaptopropionic acid (MPA), bicuculline (BCC), methyl 6,7-dimethoxy-4-ethyl-B-carboline-3-carboxylate (DMCM), or strychnine (STR) was not different from control. In vitro, gamma-HCH, pentylenetetrazol and picrotoxin were shown to inhibit 3H-TBOB binding in mouse whole brain, with IC50 values of 4.6, 404 and 9.4 microM, respectively. MPA, BCC, DMCM, and STR showed no inhibition of 3H-TBOB (t-butyl bicyclo-orthobenzoate) binding at concentrations of 100 micron. The pharmacological challenge data suggest that tolerance may occur to seizure activity induced by PTZ and PTX 24 h after gamma-HCH, since the response to only these two seizure-inducing agents is decreased. The in vitro data suggest that the site responsible for the decrease in seizure activity 24 h after gamma-HCH may be the GABA-A receptor-linked chloride channel.";bc5cdr;neurological;;843;bc5cdr|neurological
440;9744473;The R496H mutation of arylsulfatase A does not cause metachromatic leukodystrophy.;Deficiency of arylsulfatase A ( ARSA ) enzyme activity causes metachromatic leukodystrophy ( MLD ) . A number of ARSA gene mutations responsible for MLD have been identified . Recently , the R496H mutation of ARSA was proposed to be a cause of MLD ( Draghia et al . , 1997 ) . We have investigated the R496H mutation and found this mutation at a relatively high frequency in an African American population ( f = 0 . 09 , n = 61 subjects ) . The ARSA enzyme activity in subjects with and without the R496H mutation was determined and found to be normal . It is therefore concluded that the R496H mutation of ARSA does not negatively influence the activity of ARSA and is not a cause of MLD;NCBI;neurological;;441;NCBI|neurological
1045;26002693;1,3-Butadiene, CML and the t(9:22) translocation: A reality check.;UNASSIGNED: Epidemiological studies of 1,3-butadiene have suggest that exposures to humans are associated with chronic myeloid leukemia (CML). CML has a well-documented association with ionizing radiation, but reports of associations with chemical exposures have been questioned. Ionizing radiation is capable of inducing the requisite CML-associated t(9:22) translocation (Philadelphia chromosome) in appropriate cells in vitro but, thus far, chemicals have not shown this capacity. We have proposed that 1,3-butadiene metabolites be so tested as a reality check on the epidemiological reports. In order to conduct reliable testing in this regard, it is essential that a positive control for induction be available. We have used ionizing radiation to develop such a control. Results described here demonstrate that this agent does in fact induce pathogenic t(9:22) translocations in a human myeloid cell line in vitro, but does so at low frequencies. Conditions that will be required for studies of 1,3-butadiene are discussed.;bc5cdr;oncological;;1046;bc5cdr|oncological
